AAA,2015-11-30,13:06:30,10.9,2000,33100
AAA,2015-11-30,13:14:50,10.9,100,33200,SELL
AAA,2015-11-30,13:16:58,10.9,500,33700,SELL
AAA,2015-11-30,13:31:54,10.9,3000,36700,SELL
AAA,2015-11-30,13:33:50,10.9,1000,37700,SELL
AAA,2015-11-30,13:39:54,10.9,600,38300,BUY
AAA,2015-11-30,13:56:46,10.8,8400,46700,SELL
AAA,2015-11-30,14:19:27,10.8,300,47000,SELL
AAA,2015-11-30,14:19:34,10.9,1400,48400,SELL
AAA,2015-11-30,14:20:26,10.9,200,48600,SELL
AAA,2015-11-30,14:45:00,10.9,200,48800,SELL
AAA,2015-11-30,14:46:24,10.8,35000,83800,SELL
ACB,2015-11-30,13:11:46,19.5,200,5950,BUY
ACB,2015-11-30,13:22:10,19.4,100,7750,BUY
ACB,2015-11-30,13:31:06,19.4,10000,17750,BUY
ACB,2015-11-30,13:31:14,19.0,16800,34550,BUY
ACB,2015-11-30,13:31:54,19.0,500,35050,BUY
ACB,2015-11-30,13:31:58,19.0,200,35250,BUY
ACB,2015-11-30,13:32:42,19.0,5000,40250,BUY
ACB,2015-11-30,13:32:46,19.0,4200,44450,BUY
ACB,2015-11-30,13:34:55,19.0,100,44550,SELL
ACB,2015-11-30,13:43:54,19.0,10,44560,SELL
ACB,2015-11-30,13:44:50,19.0,28,44588,SELL
ACB,2015-11-30,14:12:26,19.3,1000,45588,BUY
ACB,2015-11-30,14:13:30,19.3,37,45625,BUY
ACB,2015-11-30,14:19:42,19.3,39,45664,BUY
ACB,2015-11-30,14:20:18,19.2,100,45764,SELL
ACB,2015-11-30,14:24:41,19.3,200,45964,BUY
ACB,2015-11-30,14:25:45,19.1,8000,53964,SELL
ACB,2015-11-30,14:30:59,19.1,500,54464,SELL
ACB,2015-11-30,14:46:20,19.3,10000,64464,BUY
ACB,2015-11-30,14:46:24,19.4,1100,65564,BUY
ACM,2015-11-30,13:02:55,4.8,800,448900,SELL
ACM,2015-11-30,13:08:06,4.8,1000,451900,BUY
ACM,2015-11-30,13:08:54,4.8,2800,454700,BUY
ACM,2015-11-30,13:08:58,4.8,2100,456800,SELL
ACM,2015-11-30,13:11:18,4.8,1000,457800,SELL
ACM,2015-11-30,13:17:42,4.8,12100,469900,BUY
ACM,2015-11-30,13:22:02,4.7,9400,479300,SELL
ACM,2015-11-30,13:25:26,4.8,24000,503300,BUY
